E
1	0.158	0.096	0.285	0.489	0.235	0.009	0.171	0.000	0.417	0.392	0.403	0.197	0.461	0.137	0.413	0.218
2	0.208	0.364	0.415	0.222	0.114	0.432	0.463	0.455	0.390	0.481	0.488	0.274	0.149	0.434	0.411	0.431
3	0.362	0.368	0.427	0.310	0.477	0.215	0.272	0.379	0.486	0.472	0.372	0.408	0.171	0.392	0.298	0.482
4	0.267	0.229	0.287	0.447	0.476	0.418	0.327	0.375	0.261	0.372	0.424	0.202	0.408	0.323	0.263	0.392
5	0.186	0.198	0.257	0.425	0.311	0.348	0.228	0.400	0.329	0.400	0.249	0.288	0.471	0.445	0.305	0.346
6	0.233	0.487	0.070	0.332	0.067	0.469	0.342	0.378	0.088	0.161	0.383	0.387	0.495	0.260	0.286	0.183
A
1	0.288	0.415	0.396	0.003	0.207	0.296	0.308	0.428	0.294	0.254	0.333	0.178	0.261	0.157	0.212	0.143
2	0.224	0.215	0.000	0.323	0.496	0.218	0.322	0.263	0.303	0.455	0.211	0.151	0.135	0.261	0.379	0.311
3	0.481	0.015	0.368	0.040	0.409	0.247	0.111	0.377	0.463	0.154	0.076	0.346	0.475	0.469	0.359	0.343
4	0.170	0.448	0.216	0.303	0.433	0.192	0.124	0.461	0.154	0.236	0.148	0.433	0.196	0.004	0.024	0.088
5	0.473	0.037	0.483	0.436	0.014	0.014	0.374	0.098	0.146	0.290	0.081	0.423	0.484	0.061	0.141	0.013
6	0.011	0.106	0.146	0.427	0.000	0.040	0.178	0.070	0.036	0.080	0.167	0.411	0.021	0.494	0.027	0.171
D
1	0.372	0.038	0.223	0.408	0.455	0.423	0.331	0.342	0.484	0.481	0.499	0.473	0.196	0.330	0.397	0.423
2	0.385	0.319	0.306	0.462	0.480	0.352	0.440	0.160	0.463	0.444	0.329	0.072	0.336	0.280	0.372	0.214
3	0.371	0.473	0.473	0.343	0.368	0.266	0.286	0.498	0.434	0.082	0.258	0.169	0.456	0.312	0.418	0.412
4	0.361	0.373	0.180	0.383	0.231	0.376	0.053	0.174	0.253	0.356	0.169	0.347	0.189	0.118	0.233	0.176
5	0.082	0.050	0.366	0.175	0.162	0.361	0.444	0.497	0.292	0.353	0.485	0.224	0.331	0.233	0.182	0.050
6	0.436	0.313	0.184	0.432	0.455	0.365	0.188	0.347	0.278	0.437	0.405	0.403	0.227	0.409	0.243	0.227
